Taster,Product,Coolness,Saltiness,Crunchiness,Bitterness,Chocolate
Taster 04,Prototype D,10.7,4.8,5.6,10.9,8.4
Taster 04,Prototype E,10.6,3.9,4.5,5.5,10.5
Taster 04,Prototype F,3.7,9.0,6.9,11.1,10.8
Taster 04,Prototype G,5.0,1.6,5.3,7.1,8.9
Taster 04,Prototype H,6.0,8.5,5.0,9.0,5.1
Taster 04,Prototype I,10.3,11.3,10.3,4.1,3.7
Taster 04,Prototype J,11.9,3.3,7.4,4.9,9.3
Taster 05,Prototype A,3.5,4.0,9.1,5.4,2.0
Taster 05,Prototype B,1.1,3.2,10.3,11.6,9.2
Taster 05,Prototype C,4.4,2.7,9.3,4.1,4.8
Taster 05,Prototype D,8.5,5.8,4.8,10.5,6.7
Taster 05,Prototype E,8.6,2.6,3.1,6.6,10.2
Taster 05,Prototype F,2.9,8.3,5.4,9.2,9.9
Taster 05,Prototype G,3.8,2.3,5.6,3.9,9.1
Taster 05,Prototype H,7.7,6.3,2.8,5.4,5.0
Taster 05,Prototype I,8.7,9.4,11.5,3.7,3.2
Taster 05,Prototype J,10.2,2.6,6.8,5.3,8.6
Taster 06,Prototype A,2.9,1.5,10.0,6.5,2.7
Taster 06,Prototype B,1.6,6.1,11.7,9.8,9.8
Taster 06,Prototype C,6.5,3.7,10.8,2.3,5.7
Taster 06,Prototype D,8.4,3.0,6.0,11.0,8.6
Taster 06,Prototype E,8.0,3.5,3.4,5.6,8.5
Taster 06,Prototype F,3.7,6.9,6.1,10.0,11.4
Taster 06,Prototype G,4.1,3.3,6.6,5.0,10.1
Taster 06,Prototype H,7.6,9.4,4.1,7.7,4.1
Taster 06,Prototype I,8.5,10.0,12.0,3.0,4.4
Taster 06,Prototype J,10.2,2.6,6.9,5.7,6.5
Taster 07,Prototype A,3.3,3.3,11.7,8.1,2.0
Taster 07,Prototype B,3.0,4.6,13.4,12.4,9.2
Taster 07,Prototype C,6.6,1.7,11.5,4.6,5.9
Taster 07,Prototype D,9.4,5.1,6.2,11.6,9.9
Taster 07,Prototype E,9.3,3.4,4.3,7.3,10.6
Taster 07,Prototype F,5.6,6.3,8.9,10.2,12.5
Taster 07,Prototype G,4.1,4.5,7.5,6.5,7.5
Taster 07,Prototype H,7.7,8.9,4.7,8.5,3.8
Taster 07,Prototype I,10.6,10.8,10.2,4.6,6.0
Taster 07,Prototype J,12.7,3.0,6.6,5.0,9.4
Taster 08,Prototype A,2.7,3.5,11.4,7.0,3.5
Taster 08,Prototype B,0.6,5.0,11.6,11.3,9.9
Taster 08,Prototype C,4.5,1.4,10.4,3.2,7.8
Taster 08,Prototype D,11.0,4.7,4.5,11.3,6.9
Taster 08,Prototype E,8.2,3.4,3.8,5.8,11.1
Taster 08,Prototype F,0.9,7.1,7.2,8.2,11.7
Taster 08,Prototype G,5.0,2.5,5.8,4.4,7.6
Taster 08,Prototype H,8.3,8.9,5.0,6.5,5.6
Taster 08,Prototype I,11.6,9.0,12.7,3.4,2.5
Taster 08,Prototype J,9.8,4.0,5.5,6.2,6.1
Taster 09,Prototype A,2.1,2.1,11.2,6.6,1.6
Taster 09,Prototype B,1.5,7.7,11.0,12.3,10.6
Taster 09,Prototype C,3.9,2.5,8.3,2.6,4.7
Taster 09,Prototype D,10.0,5.1,4.3,12.7,7.2
Taster 09,Prototype E,9.3,3.5,3.0,7.0,11.8
Taster 09,Prototype F,4.0,6.8,6.7,10.7,10.9
Taster 09,Prototype G,5.4,3.2,7.0,7.7,6.0
Taster 09,Prototype H,6.8,10.1,4.7,7.8,4.2
Taster 09,Prototype I,12.0,10.1,12.7,5.4,3.6
Taster 09,Prototype J,9.1,4.4,6.9,5.5,7.7
Taster 10,Prototype A,1.6,3.5,10.4,4.0,1.2
Taster 10,Prototype B,1.7,4.2,8.9,11.2,9.6
Taster 10,Prototype C,5.0,1.8,6.4,3.1,3.7
Taster 10,Prototype D,9.3,3.7,3.9,13.5,6.3
Taster 10,Prototype E,9.1,2.8,1.1,6.8,9.1
Taster 10,Prototype F,2.9,6.1,5.0,10.8,9.7
Taster 10,Prototype G,2.7,1.2,4.2,6.0,7.4
Taster 10,Prototype H,9.5,6.6,4.8,7.5,3.0
Taster 10,Prototype I,9.2,9.0,9.1,2.1,2.3
Taster 10,Prototype J,9.6,2.6,4.7,4.6,7.8
Taster 11,Prototype A,5.2,4.7,12.3,6.4,1.3
Taster 11,Prototype B,1.9,7.2,10.5,12.0,12.3
Taster 11,Prototype C,7.7,3.6,11.5,3.6,6.7
Taster 11,Prototype D,11.6,5.7,6.1,13.0,8.4
Taster 11,Prototype E,10.1,5.6,3.9,7.1,11.8
Taster 11,Prototype F,3.7,8.2,6.6,11.0,11.8
Taster 11,Prototype G,3.8,4.2,5.0,4.8,11.1
Taster 11,Prototype H,8.8,7.2,6.6,8.4,2.9
Taster 11,Prototype I,11.0,10.6,14.6,4.3,4.6
Taster 11,Prototype J,11.3,1.7,5.8,4.6,8.3
Taster 12,Prototype A,2.3,2.1,11.7,5.5,1.1
Taster 12,Prototype B,0.0,6.4,10.9,9.7,10.3
Taster 12,Prototype C,7.9,1.9,9.4,2.4,6.0
Taster 12,Prototype D,12.6,3.3,6.9,12.3,6.7
Taster 12,Prototype E,9.6,4.9,6.1,4.4,10.0
Taster 12,Prototype F,3.9,7.6,7.2,8.4,9.3
Taster 12,Prototype G,4.6,3.0,5.6,5.9,7.5
Taster 12,Prototype H,8.1,7.8,4.3,7.7,4.0
Taster 12,Prototype I,9.2,7.4,12.1,4.1,3.8
Taster 12,Prototype J,9.9,3.2,5.8,4.8,7.3
